Prüflosbezeichnung;"Redux 312_quer+längs_alte Proben"
Proben-Nr;"1"
Prüfer;"JuBr"
Werkstoff;"6082"
Prüfnorm;"DIN EN ISO 527"
Prüfgeschwindigkeit;3,6;mm/min
Prüfklima;"23 °C / 50 % rF"
Bemerkungen;""

Zeit;Traversenweg;Last;Dehnung 1;Zugdehnung;Zugspannung;Axiale Dehnung (Video);Zugverformung;Transversale Dehnung (Video);Transversale Verformung 1
(sec);(mm);(N);(%);(mm/mm);(MPa);(%);(mm);(%);(mm)
0,00000;0,00000;245,84186;0,09209;-0,00003;3,07687;-0,00316;-0,00091;0,00273;-0,00029
0,10000;0,00455;287,66323;0,09230;0,00001;3,60029;0,00106;0,00030;0,00818;-0,00086
0,14600;0,00814;364,21585;0,09275;0,00004;4,55840;0,00393;0,00113;0,00516;-0,00054
0,19600;0,01141;440,65548;0,09200;0,00003;5,51509;0,00258;0,00074;-0,00749;0,00078
0,26000;0,01548;518,03933;0,09222;0,00007;6,48360;0,00680;0,00195;-0,00780;0,00082
0,32200;0,01939;595,12133;0,09236;0,00009;7,44833;0,00854;0,00245;-0,02975;0,00311
0,39200;0,02330;671,53405;0,09316;0,00006;8,40468;0,00551;0,00158;-0,02828;0,00296
0,46200;0,02770;748,23936;0,09216;0,00008;9,36470;0,00755;0,00217;-0,03856;0,00403
0,53200;0,03171;823,59435;0,09267;0,00011;10,30781;0,01121;0,00322;-0,02675;0,00280
0,60800;0,03637;899,75120;0,09302;0,00011;11,26097;0,01077;0,00309;-0,03355;0,00351
0,67800;0,04071;974,94788;0,09163;0,00014;12,20210;0,01372;0,00394;-0,03848;0,00402
0,75800;0,04537;1050,15401;0,09195;0,00016;13,14335;0,01562;0,00449;-0,03498;0,00366
0,83200;0,05004;1127,17520;0,09271;0,00022;14,10732;0,02244;0,00645;-0,04144;0,00433
0,91400;0,05470;1203,83698;0,09244;0,00018;15,06680;0,01798;0,00517;-0,03006;0,00314
0,98800;0,05936;1278,89100;0,09290;0,00023;16,00615;0,02277;0,00655;-0,03208;0,00335
1,07000;0,06402;1355,25674;0,09256;0,00025;16,96191;0,02510;0,00721;-0,02737;0,00286
1,14800;0,06889;1430,86921;0,09313;0,00028;17,90825;0,02815;0,00809;-0,02610;0,00273
1,22800;0,07345;1506,19067;0,09297;0,00026;18,85095;0,02630;0,00756;-0,02344;0,00245
1,31000;0,07859;1582,74181;0,09303;0,00033;19,80903;0,03252;0,00935;-0,02848;0,00298
1,39200;0,08336;1659,31374;0,09287;0,00033;20,76738;0,03296;0,00947;-0,01924;0,00201
1,47600;0,08850;1735,42991;0,09215;0,00031;21,72002;0,03149;0,00905;-0,02070;0,00216
1,55800;0,09332;1810,79630;0,09188;0,00038;22,66328;0,03817;0,01097;-0,02304;0,00241
1,64600;0,09873;1887,43025;0,09282;0,00038;23,62241;0,03759;0,01080;-0,01907;0,00199
1,73200;0,10377;1963,33677;0,09297;0,00038;24,57243;0,03810;0,01095;-0,01204;0,00126
1,82200;0,10929;2039,60091;0,09177;0,00043;25,52692;0,04251;0,01222;-0,02042;0,00214
1,91000;0,11437;2114,84559;0,09287;0,00040;26,46866;0,04012;0,01153;-0,02733;0,00286
2,00000;0,12005;2191,34778;0,09187;0,00046;27,42613;0,04618;0,01327;-0,02295;0,00240
2,09400;0,12546;2267,44026;0,09247;0,00043;28,37848;0,04310;0,01239;-0,01862;0,00195
2,18200;0,13104;2342,90175;0,09221;0,00048;29,32293;0,04802;0,01380;-0,02185;0,00228
2,27800;0,13655;2418,33329;0,09163;0,00050;30,26700;0,04980;0,01431;-0,02281;0,00239
2,36600;0,14207;2494,58581;0,09277;0,00062;31,22135;0,06241;0,01794;-0,02904;0,00304
2,46400;0,14780;2570,76100;0,09262;0,00063;32,17473;0,06270;0,01802;-0,02836;0,00297
2,55400;0,15321;2646,03026;0,09241;0,00063;33,11677;0,06257;0,01798;-0,02569;0,00269
2,65400;0,15921;2721,94527;0,09252;0,00064;34,06690;0,06374;0,01832;-0,02795;0,00292
2,75000;0,16484;2797,97964;0,09304;0,00066;35,01852;0,06625;0,01904;-0,03088;0,00323
2,85000;0,17100;2874,11973;0,09313;0,00065;35,97146;0,06515;0,01872;-0,04329;0,00453
2,95000;0,17684;2947,72312;0,09268;0,00064;36,89265;0,06382;0,01834;-0,03681;0,00385
3,04800;0,18300;3023,84958;0,09250;0,00068;37,84543;0,06791;0,01952;-0,02569;0,00269
3,14800;0,18884;3094,67711;0,09297;0,00068;38,73188;0,06810;0,01957;-0,02882;0,00301
3,24800;0,19479;3170,93700;0,09312;0,00067;39,68632;0,06715;0,01930;-0,03141;0,00328
3,34800;0,20089;3242,56897;0,09282;0,00061;40,58284;0,06086;0,01749;-0,03276;0,00343
3,44800;0,20668;3313,87460;0,09322;0,00064;41,47528;0,06371;0,01831;-0,04159;0,00435
