Prüflosbezeichnung;"Redux 312_quer+längs_alte Proben"
Proben-Nr;"I10_1"
Prüfer;"JuBr"
Werkstoff;"6082"
Prüfnorm;"DIN EN ISO 527                                                   "
Prüfgeschwindigkeit;3,6;mm/min
Prüfklima;"23 °C / 50 % rF"
Bemerkungen;""

Zeit;Traversenweg;Last;Dehnung 1;Zugdehnung;Zugspannung;Axiale Dehnung (Video);Zugverformung;Transversale Dehnung (Video);Transversale Verformung 1
(sec);(mm);(N);(%);(mm/mm);(MPa);(%);(mm);(%);(mm)
0,00000;-0,00043;248,87455;1,26639;0,00001;3,11093;0,00066;0,00022;0,00513;-0,00053
0,10000;0,00332;272,71371;1,26623;0,00000;3,40892;-0,00002;-0,00001;0,00591;-0,00061
0,14800;0,00755;348,79080;1,26609;0,00002;4,35989;0,00217;0,00071;0,00153;-0,00016
0,19400;0,01071;423,82761;1,26591;0,00004;5,29785;0,00383;0,00126;0,00655;-0,00067
0,25400;0,01468;500,12190;1,26619;-0,00001;6,25152;-0,00114;-0,00037;0,01455;-0,00149
0,31600;0,01859;575,96136;1,26624;0,00005;7,19952;0,00506;0,00166;0,00542;-0,00056
0,38600;0,02266;651,07780;1,26645;0,00002;8,13847;0,00170;0,00056;0,01297;-0,00133
0,45200;0,02673;726,47771;1,26619;-0,00003;9,08097;-0,00315;-0,00103;0,00998;-0,00102
0,52000;0,03064;802,16646;1,26635;0,00000;10,02708;-0,00001;0,00000;0,02270;-0,00233
0,59200;0,03509;879,43325;1,26630;0,00000;10,99292;-0,00026;-0,00009;0,00668;-0,00069
0,66000;0,03921;956,29133;1,26641;0,00002;11,95364;0,00250;0,00082;-0,00373;0,00038
0,73600;0,04366;1033,12153;1,26656;0,00000;12,91402;0,00030;0,00010;-0,01881;0,00193
0,80400;0,04795;1109,15165;1,26644;0,00005;13,86440;0,00520;0,00171;-0,02614;0,00268
0,87800;0,05207;1185,82338;1,26647;0,00005;14,82279;0,00481;0,00158;-0,02464;0,00253
0,94800;0,05646;1260,84656;1,26649;0,00004;15,76058;0,00375;0,00123;-0,02551;0,00262
1,01800;0,06054;1336,04240;1,26645;0,00006;16,70053;0,00639;0,00210;-0,02483;0,00255
1,09400;0,06520;1411,86934;1,26670;0,00004;17,64837;0,00355;0,00116;-0,01905;0,00195
1,16400;0,06954;1487,63191;1,26661;0,00006;18,59540;0,00614;0,00202;-0,01947;0,00200
1,24200;0,07404;1562,94364;1,26660;0,00004;19,53680;0,00434;0,00143;-0,02468;0,00253
1,31400;0,07859;1638,67079;1,26680;0,00005;20,48338;0,00485;0,00159;-0,01834;0,00188
1,39200;0,08293;1714,11943;1,26690;0,00004;21,42649;0,00438;0,00144;-0,01902;0,00195
1,46800;0,08770;1791,05490;1,26685;0,00006;22,38819;0,00588;0,00193;-0,02631;0,00270
1,54400;0,09204;1866,38664;1,26689;0,00005;23,32983;0,00531;0,00174;-0,02426;0,00249
1,62200;0,09691;1942,66118;1,26692;0,00007;24,28326;0,00735;0,00242;-0,01837;0,00188
1,69800;0,10136;2018,80395;1,26713;0,00004;25,23505;0,00370;0,00122;-0,02683;0,00275
1,78000;0,10634;2095,13806;1,26717;0,00005;26,18923;0,00475;0,00156;-0,02285;0,00234
1,85600;0,11089;2171,65209;1,26710;0,00004;27,14565;0,00387;0,00127;-0,02577;0,00264
1,94000;0,11593;2247,35610;1,26711;-0,00005;28,09195;-0,00481;-0,00158;-0,01823;0,00187
2,01600;0,12059;2322,40297;1,26703;0,00002;29,03004;0,00248;0,00082;-0,01517;0,00155
2,10200;0,12562;2398,87007;1,26699;0,00003;29,98588;0,00270;0,00089;-0,02352;0,00241
2,18000;0,13050;2474,52736;1,26699;0,00003;30,93159;0,00320;0,00105;-0,03781;0,00388
