Prüflosbezeichnung;"Redux 312_quer+längs_alte Proben"
Proben-Nr;"4"
Prüfer;"JuBr"
Werkstoff;"6082"
Prüfnorm;"DIN EN ISO 527                                                   "
Prüfgeschwindigkeit;3,6;mm/min
Prüfklima;"23 °C / 50 % rF"
Bemerkungen;""

Zeit;Traversenweg;Last;Dehnung 1;Zugdehnung;Zugspannung;Axiale Dehnung (Video);Zugverformung;Transversale Dehnung (Video);Transversale Verformung 1
(sec);(mm);(N);(%);(mm/mm);(MPa);(%);(mm);(%);(mm)
0,00000;-0,00021;248,90182;1,28185;0,00002;3,11127;0,00171;0,00059;-0,00268;0,00027
0,10000;0,00380;280,63020;1,28195;0,00001;3,50788;0,00135;0,00046;-0,00771;0,00078
0,14600;0,00761;358,67513;1,28194;-0,00001;4,48344;-0,00106;-0,00036;-0,00455;0,00046
0,19600;0,01098;433,93328;1,28198;0,00000;5,42417;0,00050;0,00017;0,01036;-0,00104
0,27600;0,01639;509,47102;1,28039;0,00007;6,36839;0,00723;0,00248;0,00627;-0,00063
0,34600;0,02036;585,99478;1,28236;0,00014;7,32493;0,01432;0,00491;-0,00476;0,00048
0,41200;0,02448;661,96164;1,28233;0,00018;8,27452;0,01797;0,00616;0,01066;-0,00107
0,48000;0,02845;738,83839;1,28222;0,00013;9,23548;0,01286;0,00441;0,01899;-0,00191
0,55400;0,03295;815,28207;1,28277;0,00015;10,19103;0,01526;0,00524;0,01787;-0,00180
0,62400;0,03729;891,73542;1,28270;0,00012;11,14669;0,01196;0,00410;0,01887;-0,00190
0,70000;0,04168;967,02419;1,28226;0,00011;12,08780;0,01141;0,00391;0,02409;-0,00243
0,77400;0,04629;1043,87295;1,28264;0,00012;13,04841;0,01247;0,00428;0,02314;-0,00233
0,85600;0,05095;1119,76650;1,28259;0,00016;13,99708;0,01562;0,00536;0,03334;-0,00336
0,93600;0,05598;1196,54249;1,28286;0,00017;14,95678;0,01670;0,00573;0,02917;-0,00294
1,02800;0,06134;1271,58131;1,28292;0,00013;15,89477;0,01288;0,00442;0,02735;-0,00276
1,12200;0,06723;1346,98961;1,28298;0,00017;16,83737;0,01719;0,00590;0,02964;-0,00299
1,21000;0,07227;1423,52588;1,28282;0,00021;17,79407;0,02122;0,00728;0,03423;-0,00345
1,29200;0,07741;1499,49275;1,28315;0,00022;18,74366;0,02166;0,00743;0,04298;-0,00433
1,38400;0,08271;1575,27700;1,28282;0,00022;19,69096;0,02245;0,00770;0,04150;-0,00418
1,47000;0,08812;1651,15122;1,28307;0,00026;20,63939;0,02573;0,00882;0,04337;-0,00437
1,56800;0,09380;1726,16489;1,28284;0,00024;21,57706;0,02410;0,00827;0,04263;-0,00430
1,66200;0,09943;1802,63735;1,28309;0,00028;22,53297;0,02783;0,00955;0,04336;-0,00437
1,76200;0,10548;1877,15068;1,28286;0,00024;23,46438;0,02368;0,00812;0,04183;-0,00422
1,85600;0,11095;1952,31423;1,28302;0,00022;24,40393;0,02208;0,00757;0,04853;-0,00489
1,95200;0,11695;2028,54998;1,28316;0,00023;25,35687;0,02284;0,00783;0,04476;-0,00451
2,05000;0,12262;2104,25600;1,28315;0,00020;26,30320;0,02049;0,00703;0,05461;-0,00550
2,14200;0,12841;2180,53825;1,28298;0,00022;27,25673;0,02195;0,00753;0,03342;-0,00337
2,24200;0,13420;2255,61462;1,28281;0,00021;28,19518;0,02072;0,00711;0,02376;-0,00239
2,33400;0,13982;2330,81929;1,28275;0,00024;29,13524;0,02379;0,00816;0,02557;-0,00258
2,43400;0,14577;2404,01968;1,28186;0,00026;30,05025;0,02577;0,00884;0,01964;-0,00198
2,53200;0,15155;2479,99325;1,28242;0,00025;30,99992;0,02469;0,00847;0,00743;-0,00075
2,63200;0,15771;2553,25466;1,28319;0,00025;31,91568;0,02538;0,00870;-0,00463;0,00047
2,73200;0,16355;2623,67897;1,28303;0,00030;32,79599;0,02988;0,01025;0,01002;-0,00101
2,83200;0,16982;2698,04880;1,28306;0,00030;33,72561;0,02965;0,01017;0,00092;-0,00009
2,93200;0,17566;2765,06759;1,28310;0,00033;34,56334;0,03277;0,01124;0,00966;-0,00097
3,03200;0,18161;2836,92129;1,28302;0,00031;35,46152;0,03082;0,01057;0,00101;-0,00010
3,13200;0,18766;2904,19713;1,28303;0,00032;36,30246;0,03178;0,01090;0,00281;-0,00028
3,23200;0,19355;2972,08697;1,28312;0,00031;37,15109;0,03055;0,01048;0,00076;-0,00008
3,33200;0,19982;3042,39728;1,28283;0,00032;38,02997;0,03191;0,01095;-0,00165;0,00017
3,43200;0,20561;3107,76874;1,28302;0,00031;38,84711;0,03123;0,01071;0,00189;-0,00019
3,53200;0,21171;3178,92171;1,28295;0,00034;39,73652;0,03393;0,01164;0,00844;-0,00085
3,63200;0,21766;3243,51355;1,28267;0,00036;40,54392;0,03591;0,01232;0,01001;-0,00101
3,73200;0,22350;3309,25964;1,28306;0,00034;41,36575;0,03420;0,01173;0,01322;-0,00133
3,83200;0,22977;3374,88636;1,28313;0,00037;42,18608;0,03691;0,01266;0,01073;-0,00108
3,93200;0,23561;3437,11026;1,28317;0,00038;42,96388;0,03783;0,01297;0,01460;-0,00147
4,03200;0,24177;3506,02157;1,28325;0,00041;43,82527;0,04110;0,01410;0,02630;-0,00265
4,13200;0,24766;3567,27540;1,28315;0,00042;44,59094;0,04183;0,01435;0,04325;-0,00436
4,23200;0,25355;3632,12742;1,28303;0,00042;45,40159;0,04191;0,01438;0,04018;-0,00405
4,33200;0,25971;3694,62490;1,28318;0,00039;46,18281;0,03907;0,01340;0,04348;-0,00438
4,43200;0,26561;3754,27276;1,28335;0,00039;46,92841;0,03896;0,01336;0,04465;-0,00450
4,53200;0,27177;3819,03023;1,28330;0,00042;47,73788;0,04225;0,01449;0,03577;-0,00361
4,63200;0,27766;3877,11346;1,28320;0,00043;48,46392;0,04333;0,01486;0,04086;-0,00412
4,73200;0,28361;3941,41227;1,28313;0,00045;49,26765;0,04490;0,01540;0,03828;-0,00386
4,83200;0,28966;3999,88577;1,28317;0,00044;49,99857;0,04423;0,01517;0,04997;-0,00504
4,93200;0,29550;4058,81792;1,28336;0,00045;50,73522;0,04455;0,01528;0,04509;-0,00454
5,03200;0,30182;4120,60842;1,28350;0,00048;51,50761;0,04818;0,01652;0,04245;-0,00428
